player_id,player_name,team_id,start_prob,conditional_start_prob,appearance_prob,availability_prob,availability_risk,round_specific_rotation_risk,recent_starts,recent_sub_appearances,recent_unused_bench,recent_absences,injury_absences,competitive_match_starts,friendly_match_starts,post_qualification_rotation_matches,source_note
mike_maignan__fra,Mike Maignan,FRA,0.82,0.95,0.95,0.9,low_risk,medium,10.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,"Existing raw country start-security row is 0.98 and previous canonical start_prob was 0.82; noted bench games are rotation after qualification/friendly, not loss of starting role."
andreas_schjelderup__nor,Andreas Schjelderup,NOR,0.3333,0.4545,0.7333,0.7857,medium_risk,medium,5.0,6.0,4.0,0.0,0.0,5.0,0.0,0.0,"Transfermarkt usage supplied for audit: squad 15, starts 5, substitutions on 6, unused bench 4; appearance is high but start rate is not."
manu_kon__fra,Manu Kone,FRA,0.38,0.55,0.45,0.45,high_risk,low,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,"Latest France context supplied for audit: missed last three national matches, two with muscle injury; injury absence must not be treated as rotation."
patrick_wimmer__aut,Patrick Wimmer,AUT,0.5787,0.6477,0.8085,0.8085,medium_risk,medium,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Existing raw country start-security row is 0.5787 with base_start_score 0.6477; canonical availability split over-promoted him to secure starter.
ismaila_sarr__sen,Ismaila Sarr,SEN,0.6015,0.6526,0.768,0.768,medium_risk,medium,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Existing raw country start-security row is 0.6015 with base_start_score 0.6526; canonical availability split over-promoted him to probable starter.
alexander_schlager__aut,Alexander Schlager,AUT,0.9,0.95,0.98,0.95,low_risk,low,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,"Seneste kamp vægtes højest: startede og spillede 90 minutter mod Tunesien 1. juni 2026. Bænken mod Sydkorea vurderes som rotation i en tæt serie af tre testkampe, ikke som tab af førsterollen."
joan_garcia__esp,Joan Garcia,ESP,0.15,0.2,0.25,0.9,low_risk,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Manuel kontekstjustering: Joan Garcia vurderes ikke som sandsynlig Spanien-starter trods modelens høje start_prob. Nedjusteret for at undgå, at han vælges som value-GK på fejlagtig starterantagelse."
leo_pereira__bra,Leo Pereira,BRA,0.45,0.55,0.85,0.85,medium_risk,high,,,,,,,,,Manual context review: not in Bold expected Brazil XI. Recent full friendly starts may reflect rotation/rest for first-choice centre-backs rather than secure starting role. Downgraded to rotation/uncertain starter.
noni_madueke__eng,Noni Madueke,ENG,0.38,0.45,0.72,0.97,medium_risk,high,,,,,,,,,Manual context review: recent national-team usage indicates rotation/substitute role rather than expected first-choice starter.
raul_jimenez__mex,Raul Jimenez,MEX,,,,,medium_risk,,,,,,,,,,Manual context review: currently available and selected as a likely starter. Previous high-risk availability flag appears stale; retain medium caution.
harry_kane__eng,Harry Kane,ENG,0.97,0.99,0.99,0.98,low_risk,low,,,,,,,,,"Manual context review: nailed-on England starter whenever available. Any uncertainty should be represented as availability risk, not competition for the starting role."
gregor_kobel__sui,Gregor Kobel,SUI,0.92,0.96,0.98,0.97,low_risk,low,,,,,,,,,Manual context review: established Switzerland first-choice goalkeeper. Recent friendly benches assessed as rotation.
arthur_theate__bel,Arthur Theate,BEL,0.86,0.91,0.96,0.95,low_risk,low,,,,,,,,,Manual context review: regular Belgium starter. Recent friendly rotation should not outweigh qualification usage.
silvan_widmer__sui,Silvan Widmer,SUI,0.84,0.89,0.96,0.94,medium_risk,medium,,,,,,,,,Manual context review: expected Switzerland right-back. Recent reduced friendly minutes assessed mainly as managed minutes.
raphinha__bra,Raphinha,BRA,0.86,0.96,0.96,0.9,medium_risk,low,,,,,,,,,Manual context review: important Brazil starter when available. Remaining uncertainty represented as availability risk.
mahmoud_trezeguet__egy,Mahmoud Trezeguet,EGY,0.92,0.96,0.98,0.96,low_risk,low,,,,,,,,,Manual context review: expected Egypt starter with an advanced attacking role despite Holdet midfield classification.
antonio_nusa__nor,Antonio Nusa,NOR,0.82,0.88,0.96,0.93,medium_risk,medium,,,,,,,,,"Manual context review: likely Norway starter based on recent starts, minutes and expected-lineup assessment."
cesar_montes__mex,Cesar Montes,MEX,0.72,0.82,0.94,0.9,medium_risk,medium,,,,,,,,,"Manual context review: included in expected Mexico starting lineup, but recent mixed usage warrants continued caution."
phillipp_mwene__aut,Phillipp Mwene,AUT,0.76,0.82,0.95,0.93,medium_risk,medium,,,,,,,,,"Manual context review: frequent Austria starter with substantial recent minutes, but defensive role competition remains."
giovani_lo_celso__arg,Giovani Lo Celso,ARG,0.55,0.65,0.85,0.85,medium_risk,high,,,,,,,,,"Manual context review: not in Bold expected Argentina starting XI; recent national-team usage includes mixed starts, bench appearances and injury/absence context. Downgraded from likely starter to uncertain rotation option."
anthony_gordon__eng,Anthony Gordon,ENG,0.55,0.65,0.85,0.85,medium_risk,high,,,,,,,,,Manual context review: Bold marks him as a red/on-the-bubble starter; England attacking roles are highly competitive. Downgraded to uncertain starter.
fabian_ruiz__esp,Fabian Ruiz,ESP,0.58,0.72,0.85,0.8,medium_risk,high,,,,,,,,,"Manual context review: included in expected Spain XI, but recent national-team record includes several injury/frav?r rows close to the tournament. Downgraded from likely starter to uncertain starter."
gon_alo_ramos__por,Goncalo Ramos,POR,0.35,0.45,0.75,0.9,medium_risk,high,,,,,,,,,"Manual context review: recent Portugal usage suggests clear reserve/rotation role behind Cristiano Ronaldo. Mostly bench or short substitute appearances in competitive matches, with only limited starts. Downgraded from likely starter to rotation forward."
