player_id,player_name,team_id,start_prob,conditional_start_prob,appearance_prob,availability_prob,availability_risk,round_specific_rotation_risk,recent_starts,recent_sub_appearances,recent_unused_bench,recent_absences,injury_absences,competitive_match_starts,friendly_match_starts,post_qualification_rotation_matches,source_note,team,reason
mike_maignan__fra,Mike Maignan,FRA,0.82,0.95,0.95,0.9,low_risk,medium,10.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,"Existing raw country start-security row is 0.98 and previous canonical start_prob was 0.82; noted bench games are rotation after qualification/friendly, not loss of starting role.",,
andreas_schjelderup__nor,Andreas Schjelderup,NOR,0.3333,0.4545,0.7333,0.7857,medium_risk,medium,5.0,6.0,4.0,0.0,0.0,5.0,0.0,0.0,"Transfermarkt usage supplied for audit: squad 15, starts 5, substitutions on 6, unused bench 4; appearance is high but start rate is not.",,
manu_kon__fra,Manu Kone,FRA,0.38,0.55,0.45,0.45,high_risk,low,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,"Latest France context supplied for audit: missed last three national matches, two with muscle injury; injury absence must not be treated as rotation.",,
patrick_wimmer__aut,Patrick Wimmer,AUT,0.5787,0.6477,0.8085,0.8085,medium_risk,medium,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Existing raw country start-security row is 0.5787 with base_start_score 0.6477; canonical availability split over-promoted him to secure starter.,,
ismaila_sarr__sen,Ismaila Sarr,SEN,0.6015,0.6526,0.768,0.768,medium_risk,medium,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Existing raw country start-security row is 0.6015 with base_start_score 0.6526; canonical availability split over-promoted him to probable starter.,,
alexander_schlager__aut,Alexander Schlager,AUT,0.95,0.95,0.98,0.95,low_risk,low,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Manual round 2 start_prob package applied 2026-06-17; no EV rebuild yet.,Østrig,Manual round 2 start_prob package
joan_garcia__esp,Joan Garcia,ESP,0.15,0.2,0.25,0.9,low_risk,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Manuel kontekstjustering: Joan Garcia vurderes ikke som sandsynlig Spanien-starter trods modelens høje start_prob. Nedjusteret for at undgå, at han vælges som value-GK på fejlagtig starterantagelse.",,
noni_madueke__eng,Noni Madueke,ENG,0.38,0.45,0.72,0.97,medium_risk,high,,,,,,,,,Manual context review: recent national-team usage indicates rotation/substitute role rather than expected first-choice starter.,,
gregor_kobel__sui,Gregor Kobel,SUI,0.92,0.96,0.98,0.97,low_risk,low,,,,,,,,,Manual context review: established Switzerland first-choice goalkeeper. Recent friendly benches assessed as rotation.,,
arthur_theate__bel,Arthur Theate,BEL,0.86,0.91,0.96,0.95,low_risk,low,,,,,,,,,Manual context review: regular Belgium starter. Recent friendly rotation should not outweigh qualification usage.,,
silvan_widmer__sui,Silvan Widmer,SUI,0.84,0.89,0.96,0.94,medium_risk,medium,,,,,,,,,Manual context review: expected Switzerland right-back. Recent reduced friendly minutes assessed mainly as managed minutes.,,
mahmoud_trezeguet__egy,Mahmoud Trezeguet,EGY,0.92,0.96,0.98,0.96,low_risk,low,,,,,,,,,Manual context review: expected Egypt starter with an advanced attacking role despite Holdet midfield classification.,,
antonio_nusa__nor,Antonio Nusa,NOR,0.82,0.88,0.96,0.93,medium_risk,medium,,,,,,,,,"Manual context review: likely Norway starter based on recent starts, minutes and expected-lineup assessment.",,
phillipp_mwene__aut,Phillipp Mwene,AUT,0.76,0.82,0.95,0.93,medium_risk,medium,,,,,,,,,"Manual context review: frequent Austria starter with substantial recent minutes, but defensive role competition remains.",,
giovani_lo_celso__arg,Giovani Lo Celso,ARG,0.55,0.65,0.85,0.85,medium_risk,high,,,,,,,,,"Manual context review: not in Bold expected Argentina starting XI; recent national-team usage includes mixed starts, bench appearances and injury/absence context. Downgraded from likely starter to uncertain rotation option.",,
anthony_gordon__eng,Anthony Gordon,ENG,0.55,0.65,0.85,0.85,medium_risk,high,,,,,,,,,Manual context review: Bold marks him as a red/on-the-bubble starter; England attacking roles are highly competitive. Downgraded to uncertain starter.,,
fabian_ruiz__esp,Fabian Ruiz,ESP,0.58,0.72,0.85,0.8,medium_risk,high,,,,,,,,,"Manual context review: included in expected Spain XI, but recent national-team record includes several injury/frav?r rows close to the tournament. Downgraded from likely starter to uncertain starter.",,
james_rodr_guez__col,James Rodriguez,COL,0.82,0.9,0.92,0.92,low_risk,medium,,,,,,,,,"Manual context review from recent Colombia usage screenshot and expert article: strong recurring starter/attacking role, with set-piece/penalty relevance. Raised to likely starter.",,
luc_de_fougerolles__can,Luc De Fougerolles,CAN,0.68,0.76,0.82,0.95,low_risk,medium,,,,,,,,,"Manual context review from recent Canada usage screenshot and BetXpert comment: started recent matches and reportedly expected to get renewed trust. Raised from data-model reserve level, but kept below nailed-on due to thin sample.",,
maxime_cr_peau__can,Maxime Crepeau,CAN,0.8,0.88,0.9,0.95,low_risk,medium,,,,,,,,,Manual context review from Canada GK usage screenshot and BetXpert comment: Crepeau reportedly named/treated as Canada R1 starter. Raised to likely starter.,,
aleksandar_pavlovic__ger,Aleksandar Pavlovic,GER,0.68,0.76,0.82,0.86,medium_risk,medium,,,,,,,,,"Manual context review: Pavlovic is in Germany's start-picture but not a nailed-on starter. Recent usage includes starts and 90-minute matches, but also bench/non-squad/injury context. Downgraded from likely starter to borderline/possible starter.",,
oscar_bobb__nor,Oscar Bobb,NOR,0.58,0.68,,,medium_risk,medium,,,,,,,,,Manual context review: Norway attacking hierarchy. Recent friendly minutes should not make Bobb a safer starter than Haaland/Odegaard/Nusa. Treat as rotation/possible starter.,,
j_rgen_strand_larsen__nor,J?rgen Strand Larsen,NOR,0.38,0.48,,,medium_risk,medium,,,,,,,,,"Manual context review: Norway attacking hierarchy. Strand Larsen treated as rotation/bench, not 50%+ starter.",,
morgan_rogers__eng,Morgan Rogers,ENG,0.45,0.55,,,medium_risk,high,,,,,,,,,Manual context review: England midfield/attack role is competitive. Recent test-match minutes should not imply near-secure starter status.,,
elliot_anderson__eng,Elliot Anderson,ENG,0.35,0.45,,,medium_risk,high,,,,,,,,,Manual context review: England role is competitive. Recent test-match minutes should not imply near-secure starter status.,,
maghnes_akliouche__fra,Maghnes Akliouche,FRA,0.25,0.35,,,medium_risk,high,,,,,,,,,Manual context review: France attacking roles are competitive. Recent test-match usage should not over-promote him to likely starter.,,
maxence_lacroix__fra,Maxence Lacroix,FRA,0.25,0.35,,,medium_risk,high,,,,,,,,,Manual context review: France defensive role not secure. Recent test-match usage should not over-promote him to likely starter.,,
bradley_barcola__fra,Bradley Barcola,FRA,0.3,0.4,,,medium_risk,high,,,,,,,,,Manual context review: France attacking roles are competitive. Barcola should be treated as rotation/possible starter rather than secure starter.,,
amine_gouiri__alg,Amine Gouiri,ALG,0.45,0.55,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Gouiri not in expected XI; reduce test-match/Transfermarkt overpromotion.,,
houssem_aouar__alg,Houssem Aouar,ALG,0.45,0.55,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Aouar not in expected XI; reduce test-match/Transfermarkt overpromotion.,,
cristian_volpato__aus,Cristian Volpato,AUS,0.35,0.45,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Volpato not in expected XI; recent usage likely overpromoted him.,,
