strategy,display_name_da,formation,total_price,total_ev,total_score,avg_conditional_start_prob,high_risk_players,recommended_captain,captain_expected_growth,captain_score,captain_reason,player_name,team_id,position,price,EV,strategy_score,start_prob,conditional_start_prob,availability_risk,manual_captain_status,relevant_rounds,opponents,win_probabilities,clean_sheet_probabilities,goal_assist_fixture_info,note
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Nuno Mendes,POR,DEF,4500000,3.974216,8.104507,0.7657,0.8431,medium_risk,,1,R1:COD,R1:0.734,R1:0.5,,favoritkamp i relevant horisont; stærk clean sheet-profil
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Stefan Posch,AUT,DEF,3000000,2.655883,7.216075,0.7042,0.7586,medium_risk,,1,R1:JOR,R1:0.708,R1:0.486,,favoritkamp i relevant horisont
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Ruben Dias,POR,DEF,4000000,2.812349,5.760249,0.8077,0.8506,low_risk,,1,R1:COD,R1:0.734,R1:0.5,,favoritkamp i relevant horisont; stærk clean sheet-profil
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Cristiano Ronaldo,POR,FWD,7000000,4.947107,9.548111,0.908,0.97,medium_risk,,1,R1:COD,R1:0.734,,R1: goal 1.35 / assist 1.25,stærk startsikkerhed; høj EV; favoritkamp i relevant horisont; godt offensivt kampmiljø
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Raul Jimenez,MEX,FWD,4500000,4.992947,9.30221,0.7012,0.8154,high_risk,,1,R1:RSA,R1:0.645,,R1: goal 1.35 / assist 1.25,manuel tjek: high_risk; høj EV; godt offensivt kampmiljø
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Lautaro Martinez,ARG,FWD,8000000,4.692971,8.45776,0.8498,0.9059,medium_risk,,1,R1:ALG,R1:0.656,,R1: goal 1.35 / assist 1.25,stærk startsikkerhed; høj EV; godt offensivt kampmiljø
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Diogo Costa,POR,GK,5000000,3.560318,7.489855,0.7534,0.7925,low_risk,,1,R1:COD,R1:0.734,R1:0.5,,favoritkamp i relevant horisont; stærk clean sheet-profil
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Roberto Alvarado,MEX,MID,2500000,4.125843,9.187823,0.6394,0.7246,medium_risk,avoid,1,R1:RSA,R1:0.645,,R1: goal 1.35 / assist 1.25,captain_avoid: maa ikke anbefales som kaptajn; manuel tjek: lav conditional start; godt offensivt kampmiljø
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Oscar Bobb,NOR,MID,3000000,3.563792,8.656539,0.9101,0.97,medium_risk,,1,R1:IRQ,R1:0.758,,R1: goal 1.35 / assist 1.25,stærk startsikkerhed; favoritkamp i relevant horisont; godt offensivt kampmiljø
next_round,Næste runde (runde 1),3-4-3,49500000,42.438042,90.125739,0.8441,1,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Andreas Schjelderup,NOR,MID,3500000,3.967413,8.571763,0.6607,0.7143,medium_risk,,1,R1:IRQ,R1:0.758,,R1: goal 1.35 / assist 1.25,manuel tjek: lav conditional start; favoritkamp i relevant horisont; godt offensivt kampmiljø
