date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,46,away,3499,3505,2:3,,FS,not in squad,0,0,0,31/05/26 | FS | club:3499 | opponent:3505 | 2:3 | not in squad,True,False,False,,False,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
31/03/26,8,home,3499,6186,3:1,,FS,not in squad,0,0,0,31/03/26 | FS | club:3499 | opponent:6186 | 3:1 | not in squad,True,False,False,,False,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
28/03/26,51,away,3499,3584,2:0,,FS,not in squad,0,0,0,28/03/26 | FS | club:3499 | opponent:3584 | 2:0 | not in squad,True,False,False,,False,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
18/01/26,8,away,3499,3575,0:3,1,AFCN,played,0,0,1,18/01/26 | AFCN | club:3499 | opponent:3575 | 0:3 | played | 120',False,False,True,120.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
14/01/26,6,away,3499,3672,1:0,1,AFCN,played,0,0,0,14/01/26 | AFCN | club:3499 | opponent:3672 | 1:0 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
09/01/26,5,away,3499,3674,1:0,1,AFCN,played,0,0,0,09/01/26 | AFCN | club:3499 | opponent:3674 | 1:0 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
03/01/26,4,away,3499,13313,3:1,1,AFCN,played,0,0,0,03/01/26 | AFCN | club:3499 | opponent:13313 | 3:1 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
30/12/25,3,away,3499,3955,3:0,1,AFCN,played,0,0,0,30/12/25 | AFCN | club:3499 | opponent:3955 | 3:0 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
27/12/25,2,away,3499,3854,1:1,1,AFCN,played,0,0,0,27/12/25 | AFCN | club:3499 | opponent:3854 | 1:1 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
23/12/25,1,away,3499,15229,3:0,1,AFCN,played,0,0,0,23/12/25 | AFCN | club:3499 | opponent:15229 | 3:0 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
18/11/25,11,away,3499,8987,8:0,1,FS,played,0,0,0,18/11/25 | FS | club:3499 | opponent:8987 | 8:0 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
15/11/25,32,away,3499,3439,0:2,1,FS,played,0,0,0,15/11/25 | FS | club:3499 | opponent:3439 | 0:2 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
14/10/25,10,home,3499,14238,4:0,,WMQ2,not in squad,0,0,0,14/10/25 | WMQ2 | club:3499 | opponent:14238 | 4:0 | not in squad,True,False,False,,False,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
10/10/25,9,away,3499,33192,5:0,1,WMQ2,played,0,0,0,10/10/25 | WMQ2 | club:3499 | opponent:33192 | 5:0 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
09/09/25,8,away,3499,3854,3:2,1,WMQ2,played,0,0,0,09/09/25 | WMQ2 | club:3499 | opponent:3854 | 3:2 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
05/09/25,7,home,3499,13313,2:0,1,WMQ2,played,0,0,0,05/09/25 | WMQ2 | club:3499 | opponent:13313 | 2:0 | played | 90',False,False,True,90.0,True,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
29/08/25,8,away,3499,13313,4:2,,CHAN,not in squad,0,0,0,29/08/25 | CHAN | club:3499 | opponent:13313 | 4:2 | not in squad,True,False,False,,False,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
26/08/25,7,away,3499,3575,3:5,,CHAN,not in squad,0,0,0,26/08/25 | CHAN | club:3499 | opponent:3575 | 3:5 | not in squad,True,False,False,,False,edouard_mendy__sen,Edouard Mendy,SEN,GK,442531,https://www.transfermarkt.de/edouard-mendy/nationalmannschaft/spieler/442531/verein_id/3499
