strategy;formation;budget_m;forwards
Næste runde;3-4-3;49.5;Erling Haaland, Cristiano Ronaldo, Breel Embolo
Næste runde;3-5-2;50.0;Erling Haaland, Cristiano Ronaldo
Næste runde;4-3-3;50.0;Erling Haaland, Cristiano Ronaldo, Breel Embolo
Næste runde;4-4-2;50.0;Erling Haaland, Cristiano Ronaldo
Næste runde;4-5-1;49.5;Erling Haaland
Næste runde;5-3-2;50.0;Erling Haaland, Cristiano Ronaldo
Næste runde;5-4-1;50.0;Erling Haaland
Gruppespil;3-4-3;50.0;Harry Kane, Lautaro Martinez, Jonathan David
Gruppespil;3-5-2;50.0;Harry Kane, Lautaro Martinez
Gruppespil;4-3-3;50.0;Harry Kane, Lautaro Martinez, Breel Embolo
Gruppespil;4-4-2;49.5;Harry Kane, Cristiano Ronaldo
Gruppespil;4-5-1;49.5;Harry Kane
Gruppespil;5-3-2;50.0;Harry Kane, Lautaro Martinez
Gruppespil;5-4-1;50.0;Harry Kane
1. + 2. runde;3-4-3;50.0;Cristiano Ronaldo, Erling Haaland, Breel Embolo
1. + 2. runde;3-5-2;49.5;Cristiano Ronaldo, Harry Kane
1. + 2. runde;4-3-3;50.0;Cristiano Ronaldo, Harry Kane, Breel Embolo
1. + 2. runde;4-4-2;50.0;Cristiano Ronaldo, Harry Kane
1. + 2. runde;4-5-1;50.0;Harry Kane
1. + 2. runde;5-3-2;50.0;Cristiano Ronaldo, Erling Haaland
1. + 2. runde;5-4-1;49.5;Cristiano Ronaldo
Lang sigt;3-4-3;50.0;Cody Gakpo, Kai Havertz, Donyell Malen
Lang sigt;3-5-2;50.0;Michael Olise, Donyell Malen
Lang sigt;4-3-3;50.0;Mikel Oyarzabal, Kai Havertz, Donyell Malen
Lang sigt;4-4-2;50.0;Kai Havertz, Donyell Malen
Lang sigt;4-5-1;50.0;Cody Gakpo
Lang sigt;5-3-2;50.0;Michael Olise, Kai Havertz
Lang sigt;5-4-1;50.0;Mikel Oyarzabal
