date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
04/06/26,6,away,3591,3377,2:1,1,FS,played,0,0,0,04/06/26 | FS | club:3591 | opponent:3377 | 2:1 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
31/03/26,7,away,3591,3380,1:0,,FS,in squad,0,0,0,31/03/26 | FS | club:3591 | opponent:3380 | 1:0 | in squad,False,False,False,,False,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
28/03/26,42,away,3591,3589,4:0,1,FS,played,0,0,0,28/03/26 | FS | club:3591 | opponent:3589 | 4:0 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
10/01/26,5,away,3591,3672,2:3,1,AFCN,played,0,0,0,10/01/26 | AFCN | club:3591 | opponent:3672 | 2:3 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
06/01/26,4,away,3591,5872,3:0,1,AFCN,played,0,0,0,06/01/26 | AFCN | club:3591 | opponent:5872 | 3:0 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
31/12/25,3,away,3591,5704,3:2,,AFCN,in squad,0,0,0,31/12/25 | AFCN | club:3591 | opponent:5704 | 3:2 | in squad,False,False,False,,False,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
28/12/25,2,away,3591,3434,1:1,1,AFCN,played,0,0,0,28/12/25 | AFCN | club:3591 | opponent:3434 | 1:1 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
24/12/25,1,away,3591,5129,1:0,1,AFCN,played,0,0,0,24/12/25 | AFCN | club:3591 | opponent:5129 | 1:0 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
18/11/25,52,away,3591,14165,2:0,,FS,in squad,0,0,0,18/11/25 | FS | club:3591 | opponent:14165 | 2:0 | in squad,False,False,False,,False,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
14/11/25,5,away,3591,3807,0:1,1,FS,played,0,0,0,14/11/25 | FS | club:3591 | opponent:3807 | 0:1 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
14/10/25,10,home,3591,8987,3:0,1,WMQ2,played,0,0,0,14/10/25 | WMQ2 | club:3591 | opponent:8987 | 3:0 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
10/10/25,9,neutral,3591,3562,7:0,,WMQ2,in squad,0,0,0,10/10/25 | WMQ2 | club:3591 | opponent:3562 | 7:0 | in squad,False,False,False,,False,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
09/09/25,8,away,3591,5704,0:0,1,WMQ2,played,0,0,0,09/09/25 | WMQ2 | club:3591 | opponent:5704 | 0:0 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
05/09/25,7,home,3591,13943,1:0,1,WMQ2,played,0,0,0,05/09/25 | WMQ2 | club:3591 | opponent:13943 | 1:0 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
11/06/25,36,away,3591,3510,5:4,,FS,in squad,0,0,0,11/06/25 | FS | club:3591 | opponent:3510 | 5:4 | in squad,False,False,False,,False,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
07/06/25,45,away,3591,9171,0:1,,FS,in squad,0,0,0,07/06/25 | FS | club:3591 | opponent:9171 | 0:1 | in squad,False,False,False,,False,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
24/03/25,6,home,3591,6186,1:0,1,WMQ2,played,0,0,0,24/03/25 | WMQ2 | club:3591 | opponent:6186 | 1:0 | played | 90',False,False,True,90.0,True,yahia_fofana__civ,Yahia Fofana,CIV,GK,418651,https://www.transfermarkt.de/yahia-fofana/nationalmannschaft/spieler/418651/verein_id/3591
