date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
11/06/25,8,away,3381,6303,0:1,,FS,in squad,0,0,0,11/06/25 | FS | club:3381 | opponent:6303 | 0:1 | in squad,False,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
07/06/25,52,away,3381,3505,2:1,12,FS,played,0,0,0,07/06/25 | FS | club:3381 | opponent:3505 | 2:1 | played | 66',False,False,True,66.0,True,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
23/03/25,2,away,3381,3468,3:0,12,UNPO,played,0,1,0,23/03/25 | UNPO | club:3381 | opponent:3468 | 3:0 | played | 71',False,False,True,71.0,True,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
20/03/25,1,home,3381,3468,3:1,12,UNPO,played,0,2,0,20/03/25 | UNPO | club:3381 | opponent:3468 | 3:1 | played | 72',False,False,True,72.0,True,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
19/11/24,6,away,3381,11953,1:3,,UNLB,not in squad,0,0,0,19/11/24 | UNLB | club:3381 | opponent:11953 | 1:3 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
16/11/24,5,home,3381,3864,0:0,,UNLB,not in squad,0,0,0,16/11/24 | UNLB | club:3381 | opponent:3864 | 0:0 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
14/10/24,4,away,3381,3574,4:2,,UNLB,not in squad,0,0,0,14/10/24 | UNLB | club:3381 | opponent:3574 | 4:2 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
11/10/24,3,home,3381,11953,1:0,,UNLB,not in squad,0,0,0,11/10/24 | UNLB | club:3381 | opponent:11953 | 1:0 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
09/09/24,2,home,3381,3574,3:1,,UNLB,not in squad,0,0,0,09/09/24 | UNLB | club:3381 | opponent:3574 | 3:1 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
06/09/24,1,away,3381,3864,0:0,,UNLB,not in squad,0,0,0,06/09/24 | UNLB | club:3381 | opponent:3864 | 0:0 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
06/07/24,5,away,3381,3379,1:2,,EURO,not in squad,0,0,0,06/07/24 | EURO | club:3381 | opponent:3379 | 1:2 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
02/07/24,4,away,3381,3383,2:1,,EURO,not in squad,0,0,0,02/07/24 | EURO | club:3381 | opponent:3383 | 2:1 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
26/06/24,3,away,3381,3445,2:1,,EURO,not in squad,0,0,0,26/06/24 | EURO | club:3381 | opponent:3445 | 2:1 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
22/06/24,2,away,3381,3300,0:3,,EURO,not in squad,0,0,0,22/06/24 | EURO | club:3381 | opponent:3300 | 0:3 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
18/06/24,1,away,3381,3669,3:1,,EURO,not in squad,0,0,0,18/06/24 | EURO | club:3381 | opponent:3669 | 3:1 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
10/06/24,32,away,3381,3442,1:2,,FS,not in squad,0,0,0,10/06/24 | FS | club:3381 | opponent:3442 | 1:2 | not in squad,True,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
04/06/24,45,away,3381,3376,0:0,12,FS,played,0,0,0,04/06/24 | FS | club:3381 | opponent:3376 | 0:0 | played | 45',False,False,True,45.0,True,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
26/03/24,16,away,3381,3383,1:6,,FS,in squad,0,0,0,26/03/24 | FS | club:3381 | opponent:3383 | 1:6 | in squad,False,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
22/03/24,15,away,3381,3468,0:1,,FS,in squad,0,0,0,22/03/24 | FS | club:3381 | opponent:3468 | 0:1 | in squad,False,False,False,,False,o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,563749,https://www.transfermarkt.de/oguz-aydin/nationalmannschaft/spieler/563749/verein_id/3381
